concat_scientificName	unique_geo
Alcirona krebsii	1
Alconeura albavulta	1
Alconeura asymmetrica	1
Alconeura bakeri	1
Alconeura bicornella	1
Alconeura candida	1
Alconeura cinctella	1
Alconeura colimae	1
Alconeura derecta	1
Alconeura dimorpha	1
Alconeura dodonana	1
Alconeura dorsalis	1
Alconeura eborea	1
Alconeura glauca	1
Alconeura griffithi	1
Alconeura longitudina	1
Alconeura micropunctata	1
Alconeura nigroscuta	1
Alconeura osborni	1
Alconeura praeclara	1
Alconeura rossi	1
Alconeura rubella	1
Alconeura rubranota	1
Alconeura rutilivitta	1
Alconeura separata	1
Alconeura sigmaforma	1
Alconeura similis	1
Alconeura socorroana	1
Alconeura splendida	1
Alconeura torosa	1
Aldrichia UNKNOWN_NULL	1
Aldrichina UNKNOWN_NULL	1
Aldrichiomyza agromyzina	1
Alebra bicincta	1
Alebra castaneae	1
Alebra interrogata	1
Alebra rubrafrons	1
Aleiodes albitibia	1
Aleiodes angustipennis	1
Aleiodes coxalis	1
Aleiodes granulatus	1
Aleiodes pallidator	1
Aleiodes pulchripes	1
Aleiodes scrutator	1
Aleiodes smithi	1
Aleiodes stigmator	1
Aleiodes tullyi	1
Alena americana	1
Alena minuta	1
Aleochara Aleochara castaneipennis	1
Aleochara lanuginosa	1
Aleochara lata	1
Aleocharini UNKNOWN_NULL	1
Alepia UNKNOWN_NULL	1
Alepidia gracilis	1
Aleptina junctimacula	1
Aletha quadricollis	1
Alethia UNKNOWN_NULL	1
Aleuroclava psidii	1
Aleurodicus maritimus	1
Aleuroglyphus ovatus	1
Aleuroparadoxus UNKNOWN_NULL	1
Aleuroplatus dentatus	1
Aleuroplatus epigaeae	1
Aleuroplatus ovatus	1
Aleuroplatus plumosus	1
Aleuroplatus UNKNOWN_NULL	1
Aleuroplatus vaccinii	1
Aleuropleurocelus acaudatus	1
Aleuropleurocelus granulata	1
Aleuropleurocelus nevadensis	1
Aleurothrixus chivelensis	1
Aleurothrixus similis	1
Aleurotrachelus atratus	1
Aleurotrachelus trachoides	1
Alexeter sp. 1	1
Alexeter sp. 2	1
Aleyrodes osmaroniae	1
Aleyrodes proletella	1
Aleyrodes shizuokensis	1
Aleyrodidae unk.	1
Algarobius atratus mexicanus	1
Algarobius johnsoni acaciestes	1
Algarobius johnsoni apachei	1
Algarobius johnsoni arboricola	1
Algarobius johnsoni arena	1
Algarobius johnsoni auripilosa	1
Algarobius johnsoni baboquivari	1
Algarobius johnsoni barri	1
Algarobius johnsoni beali	1
Algarobius johnsoni bigbendensis	1
Algarobius johnsoni caelatipennis princeps	1
Algarobius johnsoni carlsoni	1
Algarobius johnsoni chihuahuensis	1
Algarobius johnsoni chiltonae	1
Algarobius johnsoni chisosensis	1
Algarobius johnsoni daleae	1
Algarobius johnsoni dariensis	1
Algarobius johnsoni emersoni	1
Algarobius johnsoni ensiculus	1
Algarobius johnsoni franckei	1
Algarobius johnsoni fulvescens	1
Algarobius johnsoni gutierreziae	1
Algarobius johnsoni hasbroucki	1
Algarobius johnsoni inopinata	1
Algarobius johnsoni linsleyi	1
Algarobius johnsoni macswaini	1
Algarobius johnsoni margaretae	1
Algarobius johnsoni mcgregori	1
Algarobius johnsoni mesoamericanus	1
Algarobius johnsoni mexicanus	1
Algarobius johnsoni mexicanus viridis	1
Algarobius johnsoni mortensoni	1
Algarobius johnsoni oklahomensis	1
Algarobius johnsoni opuntiae	1
Algarobius johnsoni ornatus bonnevillensis	1
Algarobius johnsoni painteri	1
Algarobius johnsoni panamensis	1
Algarobius johnsoni perotensis	1
Algarobius johnsoni quadridentatus	1
Algarobius johnsoni rockefellei	1
Algarobius johnsoni rufipes femorata	1
Algarobius johnsoni slosseri	1
Algarobius johnsoni sonorae	1
Algarobius johnsoni sylvatica	1
Algarobius johnsoni texensis	1
Algarobius johnsoni trichopi	1
Algarobius johnsoni villae	1
Algarobius johnsoni wardi	1
Algarobius johnsoni zapotecerum	1
Alienacanthomysis macropsis	1
Aligia bicolor	1
Aligia descripta	1
Aligia mexicana	1
Aligia oculea	1
Aligia pallidinota	1
Aligia riscoana	1
Aligia santana	1
Aligia suffusca	1
Aligia UNKNOWN_NULL	1
Alitocoris manni	1
Allanthalia UNKNOWN_NULL	1
Allantus viennensis	1
Allaphis cyperi	1
Allaporus pulchellus	1
Allarete barberi	1
Allecula pilipes	1
