InstitutionCode	family	count(*)
iNaturalist	Pollicipedidae	3
EMEC	Polycentropidae	1
KU	Polycentropodidae	160
USNM	Polychelidae	12
FMNH	Polydesmidae	5
MCZ	Polymitarcidae	1
INHS	Polymitarcyidae	2
TTU	Polymorphidae	1
UNM	Polyphagidae	53
EMEC	Polyplacidae	13
EMEC	Polythoridae	22
OSU	Pompilidae	555
USNM	Pontellidae	40
MCZ	Porcellanidae	95
UNM	Porcellionidae	163
USNM	Porocephalidae	4
MCZ	Portunidae	97
USNM	Potamidae	2
OMNH	Poteriidae	1
FMNH	Prisopodidae	1
USNM	Procarididae	5
USNM	Processidae	38
OSU	Proctotrupidae	197
MCZ	Prodidomidae	4
EMEC	Prodoxidae	1
USNM	Pronoidae	8
YPM	Protoneuridae	123
USNM	Psalidopodidae	8
MCZ	Pselaphidae	3
OMNH	Psephenidae	348
CSCA	Pseudococcidae	47
USNM	Pseudocyclopidae	2
USNM	Pseudocycnidae	20
USNM	Pseudodiaptomidae	9
FMNH	Pseudonannolenidae	1
FMNH	Pseudophasmatidae	2
USNM	Pseudorhombilidae	4
USNM	Pseudosquillidae	10
YPM	Pseudostigmatidae	77
MCZ	Pseudothelphusidae	86
TTU	Psilostomatidae	1
OSU	Psocidae	7
FMNH	Psychidae	8
iNaturalist	Psychodidae	20
INHS	Psychomyiidae	46
UCR	Psyllidae	65
INHS	Psyllipsocidae	3
OMNH	Pteriidae	1
USNM	Pterolonchidae	1
OSU	Pteromalidae	97
ASU	Pterophoridae	13
OSU	Ptiliidae	527
TTU	Ptilodactylidae	487
OSU	Ptinidae	17
USNM	Pulicidae	3
CSCA	Putoidae	10
USNM	Pycnogonidae	4
USNM	Pygidicranidae	2
USNM	Pylochelidae	1
UNM	Pyralidae	238
FMNH	Pyrgodesmidae	65
iNaturalist	Pyrgomorphidae	40
USNM	Pyrgotidae	1
EMEC	Pyrochroidae	1
iNaturalist	Pyrrhocoridae	984
MCZ	Raninidae	26
OSU	Raphidiidae	2
USNM	Rataniidae	1
NMSU	Reduviidae	8803
FMNH	Rhachodesmidae	76
UNM	Rhaphidophoridae	69
UNM	Rhinocricidae	46
UA	Rhinotermitidae	219
MCZ	Rhipiphoridae	1
ASU	Rhopalidae	2209
MSU	Rhopalopsyllidae	7
MSU	Rhopalosomatidae	1
INHS	Rhyacophilidae	20
NAUF	Rhynchitidae	3
OSU	Rhyparochromidae	1727
USNM	Rhyscotidae	1
OSU	Rhysodidae	264
MCZ	Richardiidae	1
USNM	Ricinidae	1
MCZ	Ricinoididae	31
USNM	Ridgewayiidae	1
UMNH	Riodinidae	804
TAMU	Ripiphoridae	30
UA	Ripipterygidae	3
NMSU	Romaleidae	336
USNM	Ropalomeridae	1
TTU	Rutelidae	14
USNM	Rutidermatidae	4
USNM	Ryocalanidae	3
UCR	Saldidae	371
KU	Salpingidae	46
NMSU	Salticidae	1789
MCZ	Samoidae	3
USNM	Santiidae	1
USNM	Sapphirinidae	5
USNM	Sarcophagidae	17
USNM	Sarsiellidae	4
NMSU	Saturniidae	716
USNM	Scalpellidae	5
NMSU	Scarabaeidae	34517
USNM	Scatopsidae	1
MSU	Scelionidae	50
EMEC	Scenopinidae	2
MCZ	Schendylidae	10
USNM	Schizocytheridae	2
USNM	Schizopetalidae	2
FMNH	Schizopteridae	99
USNM	Sciaridae	1
USNM	Scinidae	4
OSU	Sciomyzidae	23
