cnt	max(occid)	catalogNumber
3	32254070	10BBCHEM-0848
3	32254332	10BBCHEM-0851
3	32254333	10BBCHEM-0852
3	32254334	10BBCHEM-0853
3	32254335	10BBCHEM-0863
3	32254336	10BBCHEM-0866
3	32254337	10BBCHEM-0868
3	32281349	10BBCHEM-0874
3	32254338	10BBCHEM-0875
3	32266733	10BBCHEM-0878
3	32257482	10BBCHEM-0885
3	32258594	10BBCHEM-0892
3	32266735	10BBCHEM-0894
3	32278666	10BBCHEM-0897
3	32258595	10BBCHEM-0903
3	32278667	10BBCHEM-0906
3	32278455	10BBCHEM-0911
3	32278456	10BBCHEM-0912
3	32278457	10BBCHEM-0913
3	32266740	10BBCHEM-0916
3	32257483	10BBCHEM-0923
3	32258596	10BBCHEM-0928
3	32254283	10BBCHEM-0929
3	32254284	10BBCHEM-0930
3	32254285	10BBCHEM-0935
3	32257484	10BBCHEM-0939
3	32257485	10BBCHEM-0941
3	32257486	10BBCHEM-0965
3	32254287	10BBCHEM-0970
3	32254288	10BBCHEM-0971
3	32254289	10BBCHEM-0973
3	32258104	10BBCHEM-0976
3	32278534	10BBCHEM-0997
3	32504636	10BBCHEM-1006
3	32260810	10BBCHEM-1007
3	32260811	10BBCHEM-1008
3	32278661	10BBCHEM-1009
3	32551817	10BBCHEM-1011
3	32551819	10BBCHEM-1020
3	32551820	10BBCHEM-1021
3	32511597	10BBCHEM-1022
3	32278662	10BBCHEM-1028
3	32479876	10BBCHEM-1035
3	32486803	10BBCHEM-1039
3	32264102	10BBCHEM-1048
3	32551822	10BBCHEM-1054
3	32485376	10BBCHEM-1057
3	32274760	10BBCHEM-1058
3	32266710	10BBCHEM-1077
3	32260812	10BBCHEM-1090
3	32260813	10BBCHEM-1091
3	32265146	10BBCHEM-1096
3	32257915	10BBCHEM-1106
3	32249405	10BBCHEM-1114
3	32249406	10BBCHEM-1115
3	32254278	10BBCHEM-1118
3	32497647	10BBCHEM-1131
3	32254279	10BBCHEM-1140
3	32254280	10BBCHEM-1141
3	32257917	10BBCHEM-1146
3	32479836	10BBCHEM-1148
3	32257918	10BBCHEM-1160
3	32266715	10BBCHEM-1163
3	32257920	10BBCHEM-1166
3	32280460	10BBCHEM-1185
3	32280461	10BBCHEM-1186
3	32258648	10BBCHEM-1187
3	32258649	10BBCHEM-1188
3	32280462	10BBCHEM-1198
3	32481645	10BBCHEM-1199
3	32280189	10BBCHEM-1200
3	32254281	10BBCHEM-1210
3	32551839	10BBCHEM-1232
3	32249242	10BBCHEM-1254
3	32249243	10BBCHEM-1255
3	32249244	10BBCHEM-1256
3	32280485	10BBCHEM-1277
3	32280486	10BBCHEM-1278
3	32280487	10BBCHEM-1279
3	32280488	10BBCHEM-1280
3	32280489	10BBCHEM-1284
3	32280490	10BBCHEM-1285
3	32280491	10BBCHEM-1286
3	32280492	10BBCHEM-1287
3	32266720	10BBCHEM-1319
3	32266721	10BBCHEM-1320
3	32258643	10BBCHEM-1325
3	32258644	10BBCHEM-1327
3	32278663	10BBCHEM-1329
3	32278664	10BBCHEM-1330
3	32275704	10BBCHEM-1332
3	32278665	10BBCHEM-1338
