InstitutionCode	family	count(*)
OSU	Cleridae	54
TTU	Cleridae	6
USNM	Cleridae	20
UTC	Cleridae	2
DMNS	Clubionidae	1
FMNH	Clubionidae	12
MCZ	Clubionidae	9
SMF	Clubionidae	3
CSCA	Coccidae	33
iNaturalist	Coccidae	2
USNM	Coccidae	40
ASU	Coccinellidae	1
EMEC	Coccinellidae	127
iNaturalist	Coccinellidae	356
INHS	Coccinellidae	3
KU	Coccinellidae	116
OSU	Coccinellidae	191
UAM	Coccinellidae	45
USNM	Coccinellidae	29
CAS	Coenagrionidae	321
EMEC	Coenagrionidae	174
FMNH	Coenagrionidae	27
iNaturalist	Coenagrionidae	518
INHS	Coenagrionidae	20
OSU	Coenagrionidae	1
SDNHM	Coenagrionidae	25
TTU	Coenagrionidae	6
UNM	Coenagrionidae	1
USNM	Coenagrionidae	1257
YPM	Coenagrionidae	190
iNaturalist	Coenobitidae	12
MCZ	Coenobitidae	7
USNM	Coenobitidae	19
EMEC	Coleophoridae	16
USNM	Coleophoridae	1
AMNH	Colletidae	195
EMEC	Colletidae	1
iNaturalist	Colletidae	4
INHS	Colletidae	338
KU	Colletidae	1980
MSU	Colletidae	6
OSU	Colletidae	3
TAMU	Colletidae	92
UNM	Colletidae	16
USNM	Colletidae	13
USNM	Colomastigidae	10
KU	Colydiidae	82
MCZ	Colydiidae	2
USNM	Colydiidae	5
CSCA	Conchaspididae	1
USNM	Conchaspididae	1
OMNH	Conidae	28
USNM	Coniopterygidae	3
FMNH	Conopidae	6
iNaturalist	Conopidae	1
INHS	Conopidae	2
USNM	Conopidae	7
MCZ	Conotylidae	1
EMEC	Copromorphidae	1
USNM	Corallanidae	38
CAS	Cordulegastridae	2
EMEC	Cordulegastridae	3
iNaturalist	Cordulegastridae	6
USNM	Cordulegastridae	4
AMNH	Coreidae	723
CMNH	Coreidae	25
iNaturalist	Coreidae	296
INHS	Coreidae	3
NCSU	Coreidae	38
NMSU	Coreidae	15
OSAC	Coreidae	147
TAMU	Coreidae	4878
TTU	Coreidae	5
UCR	Coreidae	78
UHIM	Coreidae	1
UMAM	Coreidae	1
UMNH	Coreidae	3
USNM	Coreidae	4
AMNH	Corimelaenidae	28
DMNS	Corinnidae	2
FMNH	Corinnidae	32
IBUNAM	Corinnidae	13
iNaturalist	Corinnidae	3
MCZ	Corinnidae	161
SMF	Corinnidae	1
UNM	Corinnidae	34
AMNH	Corixidae	192
ANSP	Corixidae	30
INHS	Corixidae	5
KU	Corixidae	4390
NMSU	Corixidae	1
OSAC	Corixidae	4
USNM	Coronididae	1
USNM	Coronulidae	1
USNM	Corophiidae	35
USNM	Corycaeidae	5
iNaturalist	Corydalidae	18
KU	Corydalidae	79
NMSU	Corydalidae	3
USNM	Corydalidae	15
YPM	Corydalidae	18
EMEC	Corydiidae	4
FMNH	Corydiidae	7
iNaturalist	Corydiidae	3
KU	Corylophidae	359
MCZ	Corylophidae	1
USNM	Corylophidae	1
UTC	Corylophidae	2
EMEC	Cosmetidae	6
FMNH	Cosmetidae	8
iNaturalist	Cosmetidae	1
MCZ	Cosmetidae	51
UNM	Cosmetidae	1
EMEC	Cosmopterigidae	2
iNaturalist	Cossidae	5
MSU	Cossidae	3
UNM	Cossidae	12
USNM	Cossidae	19
YPM	Cossidae	3
AMNH	Crabronidae	1
ASU	Crabronidae	628
BISON	Crabronidae	9
CSCA	Crabronidae	2344
EMEC	Crabronidae	961
FMNH	Crabronidae	22
iNaturalist	Crabronidae	5
INHS	Crabronidae	30
KU	Crabronidae	21
MSU	Crabronidae	100
OSU	Crabronidae	114
TAMU	Crabronidae	655
TTU	Crabronidae	1
EMEC	Crambidae	6
iNaturalist	Crambidae	246
MOD_DMNS	Crambidae	3
MSU	Crambidae	20
UNM	Crambidae	12
USNM	Crambidae	2
MCZ	Crangonidae	3
USNM	Crangonidae	20
USNM	Cryptochiridae	1
FMNH	Cryptodesmidae	6
MCZ	Cryptodesmidae	4
USNM	Cryptodesmidae	10
KU	Cryptophagidae	304
MCZ	Cryptophagidae	17
TTU	cryptophagidae	64
USNM	Cryptophagidae	1
USNM	Cryptophialidae	1
MCZ	Cryptopidae	3
UNM	Cryptopidae	2
USNM	Cryptopidae	9
DMNS	Ctenidae	5
FMNH	Ctenidae	3
iNaturalist	Ctenidae	17
MCZ	Ctenidae	17
NMSU	Ctenidae	1
SMF	Ctenidae	2
GBIF	Ctenizidae	2
MCZ	Ctenizidae	2
MCZ	Cucujidae	4
OSU	Cucujidae	10
USNM	Cucujidae	7
iNaturalist	Culicidae	6
KU	Culicidae	7
OSU	Culicidae	90
UNM	Culicidae	2
NULL	Curculionidae	9
ASU	Curculionidae	781
CSU	Curculionidae	4
EMEC	Curculionidae	16
iNaturalist	Curculionidae	19
INHS	Curculionidae	3
KU	Curculionidae	564
MCZ	Curculionidae	15
MSU	Curculionidae	325
NAUF	Curculionidae	1757
NMSU	Curculionidae	95
OMNH	Curculionidae	3
OSU	Curculionidae	417
TAMU	Curculionidae	6702
TTU	Curculionidae	709
UA	Curculionidae	526
UNM	Curculionidae	2
USNM	Curculionidae	480
TTU	Cuterebridae	1
UNM	Cybaeidae	1
USNM	Cybocephalidae	3
USNM	Cyclodorippidae	6
USNM	Cyclopidae	101
USNM	Cyclopinidae	1
AMNH	Cydnidae	362
CMNH	Cydnidae	64
NCSU	Cydnidae	1
NMSU	Cydnidae	3
OSU	Cydnidae	66
TAMU	Cydnidae	727
UCR	Cydnidae	21
USNM	Cydnidae	8
USNM	Cylindroleberididae	18
TAMU	Cymidae	15
MCZ	Cymopoliidae	2
USNM	Cymothoidae	74
FMNH	Cynipidae	24
INHS	Cynipidae	14
MSU	Cynipidae	1
NMSU	Cynipidae	119
OSU	Cynipidae	8
USNM	Cynipidae	11
OMNH	Cypraeidae	1
USNM	Cyprididae	2
USNM	Cypridinidae	8
FMNH	Cyrtaucheniidae	2
MCZ	Cyrtaucheniidae	3
MCZ	Cyrtodesmidae	2
USNM	Cystisomatidae	2
USNM	Cytherellidae	2
USNM	Cytheridae	1
USNM	Cytherideidae	8
USNM	Cytheromatidae	2
USNM	Cytheruridae	9
USNM	Cyzicidae	1
CSCA	Dactylopiidae	3
UMAM	Dactylopiidae	1
USNM	Dactylopiidae	7
USNM	Dajidae	13
FMNH	Dalceridae	1
iNaturalist	Dalceridae	1
MSU	Dalceridae	1
USNM	Daphniidae	1
USNM	Darcythompsoniidae	6
TTU	Dascillidae	39
USNM	Deeveyidae	5
iNaturalist	Deinopidae	11
AMNH	Delphacidae	9
BMNH	Delphacidae	2
BPBM	Delphacidae	2
BYU	Delphacidae	14
CAS	Delphacidae	3
CSCA	Delphacidae	2
FSCA	Delphacidae	13
INHS	Delphacidae	34
KU	Delphacidae	39
LBOB	Delphacidae	138
LSU	Delphacidae	2
NCSU	Delphacidae	65
OSU	Delphacidae	3
TAMU	Delphacidae	600
UAZ	Delphacidae	1
UCR	Delphacidae	11
UDCC	Delphacidae	137
UK	Delphacidae	337
UNM	Delphacidae	6
USNM	Delphacidae	73
