scientificName	unique_geo
Acleris rhombana Denis & SchiffermÃ¼ller, 1776	2
Acleris robinsoniana	1
Acleris robinsoniana Forbes, 1923	2
Acleris romanana Fabricius, 1787	2
Acleris schalleriana Linnaeus, 1761	1
Acleris schalleriana viburnana	1
Acleris semiannula	1
Acleris semiannula Robinson, 1869	5
Acleris semipurpurana	1
Acleris simpliciana	1
Acleris sp.	1
Acleris subnivana	1
Acleris subnivana Walker, 1863	4
Acleris variana	1
Acleris variana Fernald, 1886	5
Acleris variegana Denis & SchiffermÃ¼ller, 1775	2
Acleris youngana (McDunnough)	1
Acleris youngana McDunnough, 1934	1
Aclista pacifica	1
Aclista spp.	1
Aclypea bituberosa J. L. LeConte, 1859	1
Aclytia albistriga Schaus	1
Aclytia heber (Cramer, 1780)	1
Aclytia heber Cramer, 1782	16
Aclytia punctata Butler, 1876	6
Aclytia ventralis Guerin-Meneville, 1843	8
Acmaeodera	6
Acmaeodera (Acmaeodera) alicia Fall, 1899	1
Acmaeodera (Acmaeodera) amabilis Horn, 1878	1
Acmaeodera (Acmaeodera) amplicollis LeConte, 1866	1
Acmaeodera (Acmaeodera) angelica Fall, 1899	1
Acmaeodera (Acmaeodera) cazieri Knull, 1960	1
Acmaeodera (Acmaeodera) comata LeConte, 1858	1
Acmaeodera (Acmaeodera) connexa LeConte, 1859	1
Acmaeodera (Acmaeodera) decipiens LeConte, 1866	1
Acmaeodera (Acmaeodera) disjuncta Fall, 1899	1
Acmaeodera (Acmaeodera) flavomarginata (Gray, 1832)	4
Acmaeodera (Acmaeodera) gibbula LeConte, 1858	1
Acmaeodera (Acmaeodera) hepburnii LeConte, 1860	1
Acmaeodera (Acmaeodera) idahoensis Barr, 1969	1
Acmaeodera (Acmaeodera) knullorum Barr, 1972	1
Acmaeodera (Acmaeodera) labyrinthica Fall, 1899	1
Acmaeodera (Acmaeodera) linsleyi Van Dyke, 1943	1
Acmaeodera (Acmaeodera) mariposa Horn, 1878	1
Acmaeodera (Acmaeodera) ornata (Fabricius, 1775)	9
Acmaeodera (Acmaeodera) parkeri Cazier, 1940	1
